Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
NOH,Gordon,64%,21.1,18.6,2.5,2.4,1.1,1.3,2.1
ORL,Nicholson,41%,14,14.7,-0.7,4.6,-2.8,7.5,2
LAL,Meeks,57%,16.9,18.7,-1.8,-0.3,-10,9.7,2
MIL,Pachulia,55%,14.9,17.9,-3,-3.3,-14.7,11.5,1.8
PHO,Marcus.Morris,46%,13.8,14.7,-1,6.9,-0.4,7.3,1.8
SAC,Cousins,61%,26.1,18.2,8,-9,1.7,-10.8,1.7
CHI,Gibson,53%,15.8,15.7,0.1,7.4,2.4,5,1.7
LAL,Young,50%,15.3,11.3,4,-5.9,-3,-2.9,1.7
LAL,Farmar,40%,10.6,11.6,-1,-0.4,-7.1,6.7,1.5
DAL,Dalembert,47%,16.7,12.1,4.7,0.4,5.3,-4.9,1.5
CHA,McRoberts,53%,15,14.4,0.7,-3,-6,3,1.4
BKN,Blatche,44%,10.5,13.9,-3.4,1.5,-9.5,11,1.4
DEN,Faried,52%,21.7,18,3.7,-2.8,0.7,-3.5,1.3
CHA,Kidd-Gilchrist,60%,17.2,19.2,-2.1,-1.2,-9.3,8.1,1.3
IND,Watson,47%,9.7,10.3,-0.6,11.6,7.4,4.2,1
BKN,Livingston,46%,19.1,21.5,-2.4,-0.5,-8.3,7.8,1
NOH,Aminu,45%,13.8,13.9,0,3.3,0.7,2.6,0.8
NYK,Shumpert,64%,13.4,19.7,-6.3,0,-14.8,14.8,0.7
NYK,Bargnani,55%,21.4,14.8,6.6,-10.5,1,-11.5,0.6
LAC,Crawford,54%,19.2,10.6,8.6,-3.1,13.2,-16.3,0.3
LAL,Henry,42%,8.5,10.8,-2.4,-1.2,-6.7,5.5,0.3
DET,Stuckey,48%,17,12.8,4.2,-7.5,0.4,-7.9,0.2
WAS,Gortat,68%,16.4,19.1,-2.7,-2.5,-8.4,5.8,0.2
SAS,Belinelli,43%,15.4,15.4,0.1,9.5,9.2,0.3,0.2
WAS,Ariza,63%,15.6,19.1,-3.6,-1.7,-9,7.2,0
MIA,Wade,62%,19.4,13.6,5.7,3.2,14.7,-11.5,0
CLE,Miles,40%,18.8,20.1,-1.3,-5.3,-7.8,2.5,0
